,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,SUM  Completed,Labs,Lab Size,nPublications,Other Journals,University,Career Duration,Degree Area,degree,Latitude,Longitude,UndergradStudentCount,ranking,students staff ratio,perc intl students,near_city,crime_index,safety_index
14,"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves",Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.pone.0086342,2013,,,,1.0,,multiple cases of duplicated bands within same blot,1,,,,,1,,, 0 0 4 0 5 1 1 0 3 12 3 22  ,PLOS ONE PLOS Biology PLOS Genetics PLOS Neglected Tropical Diseases PLOS Pathogens PLOS Neglected Tropical Diseases  ,Shanghai Jiaotong University,2,Department of Biology and Biochemistry and the Centre for Regenerative Medicine,,,,,,,,,33.36,53.13
15,"Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu",Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,"Infect. Immun. May 2011, p. 1936ï¿½1950 Vol. 79, No. 5",10.1155/2014/164391,2014,,,,,1,Duplicated blot strips,1,,,1.0,,1,,,2 0 7  ,PLOS ONE ,Tel-Aviv University,14,"Academic Unit of Clinical Oncology, University of Sheffield",,,-117.158168,,40.0,,,"Brighton, United Kingdom",,35.93
16,"Yue Wang, Ye Qu, Xiu Long Niu, Wei Jia Sun, Xiao Lei Zhang, Ling Zhi Li","Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo","PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1128/JCM.44.3.772-776.2006,2014,07July,,1.0,1.0,,"repetitive bands, and background in gel panel",1,,,,,1,,,0 0 0 0 0  ,  PLOS ONE  PLOS Biology PLOS ONE PLOS Biology PLOS ONE  ,University of Washington,10,Institut National de la Santé et de la Recherche Médicale,,,,,,,26%,,25.77,85.68
17,"Corentin Herbert, Ulrich Schieborr, Krishna Saxena, Jarek Juraszek, Frederik De Smet, Chantal Alcouffe, Marc Bianciotto, Giorgio Saladino, David Sibrac, Denis Kudlinzki, Sridhar Sreeramulu, Alan Brown, Patrice Rigon, Jean-Pascal Herault, Gilbert Lassalle,1 Tom L. Blundell, Frederic Rousseau, Ann Gils, Joost Schymkowitz, Peter Tompa, Jean-Marc Herbert, Peter Carmeliet, Francesco Luigi Gervasio, Harald Schwalbe, and Francoise Bono",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0096343,2014,04April,,1.0,,1,Duplicated control blot panel,1,11/9/2015,,,1.0,1,,0.0,0 9 0 50 0 50 2 50 ,PLOS Biology PLOS ONE PLOS Genetics PLOS ONE PLOS Medicine PLOS Computational Biology PLOS Pathogens  ,National Jewish Medical and Research Center,2,Department of Microbiology and Immunology,Dr. rer. nat.,,,,276.0,,11%,"Minneapolis, MN, United States",30.18,37.62
18,"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,"Microbiol. Immunol., 49(3), 219ï¿½225, 2005",10.1128/IAI.01769-14,2014,,,,,1,"Duplicated blot panels, different exposure",1,3/28/2017,,1.0,,1,"Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America",121.0,2 1 3 0 2 1 3 ,PLOS ONE PLOS ONE PLOS ONE  ,The State University of New Jersey,5,"Department of Gastroenterology, Ruijin Hospital",PhD,,,,,,,,,35.94
19,"Shun-Dong Dai, Yan Wang, Gui-Yang Jiang, Peng-Xin Zhang, Xin-Jun Dong, Qiang Wei, Hong-Tao Xu, Qing-Chang Li, Chen Zhao, En-Hua Wang",Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes,"Infect. Immun. Mar. 2004, p. 1223ï¿½1229 Vol. 72, No. 3",10.1371/journal.pone.0090318,2014,,,,,,"Duplicated or mirrored blot panels, or lanes within blots",1,3/3/2016,,,,1,,121.0,     ,PLOS ONE PLOS Biology PLOS Genetics PLOS Pathogens PLOS ONE PLOS Neglected Tropical Diseases PLOS ONE  ,Universitätsklinikum Erlangen,2,University of Glasgow School of Medicine,Ph.D,35.306022,,,,11.0,,"Memphis, TN, United States",33.03,56.58
20,"Hwa-Jeong Lee, Jin-Woo Cho, Sang-Cheol Kim, Kyung-Hwa Kang, Sun-Kyung Lee, Sung-Hee Pi, Suk-Keun Lee, Eun-Cheol Kim",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292",10.1128/IAI.01203-10,2012,IAI,,,1.0,,shifted GAPDH panels,1,11/11/2015,1.0,1.0,,1,"Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America",,0 0 0 0 0  ,PLOS ONE PLOS Biology PLOS ONE PLOS ONE PLOS Biology PLOS ONE ,Queen's University,7,"Department of Biochemistry and Molecular Biophysics, Biochemistry and Molecular and Cellular Biology Graduate Program",,,,,,16.1,30%,"Houston, TX, United States",63.85,45.14
21,"Baoyi Zhu, Xiaojuan Li, Yuying Zhang, Chunwei Ye, Yu Wang, Songwang Cai, Huaiqiu Huang, Yi Cai, Shuyuan Yeh, Zhenhua Huang, Ruihan Chen, Yiran Tao, and Xingqiao Wen",Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"Infect. Immun. Mar. 2005, p. 1386ï¿½1398 Vol. 73, No. 3",10.1002/ijc.27917,2008,06June,,,1.0,1,Multiple cases of duplicated bands within same blot panel,1,4/21/2016,,1.0,,1,,,11 1 0 10  ,PLOS ONE PLOS Genetics PLOS Computational Biology PLOS Neglected Tropical Diseases PLOS Pathogens  ,Medical University of South Carolina,12,Department of Microbiology,,,,,,,,"Kolkata, India",36.91,
22,"Wulamu Mamuti, Hiroshi Yamasaki, Yasuhito Sako, Minoru Nakao, Ning Xiao, Kazuhiro Nakaya, Naoki Sato, Dominique A. Vuitton, Renaud Piarroux, Marshall W. Lightowlers, Philip S. Craig, and Akira Ito","Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells","Nature, Vol 459|18 June 2009",10.1016/j.cyto.2004.11.009,2003,06June,1.0,,,,"Duplicated, and shifted GAPDH gel panel",1,9/5/2014,,1.0,,1,,19.0,0 0 0 0 0  0 ,     ,Shanghai Jiaotong University School of Medicine,13,"Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education",,,,,,,,"Shenzhen, China",,34.43
23,"Arumugam Nagalingam, Jack L Arbiser, Michael Y Bonner, Neeraj K Saxena, and Dipali Sharma","Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice",Cytokine 70 (2014) 87ï¿½96,10.1128/IAI.01769-14,2014,,,,1.0,1,Overlapping microscopy panels,1,,,1.0,,1,"Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States of America",8.0,1 1 16 0 50 12 50 6 5 3 0 ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS ONE ,University of Vermont College of Medicine,4,Department of Medicine,,,,,,,,"Hyderabad, India",33.36,26.15
24,"S Kale, R Raja, D Thorat, G Soundararajan, TV Patil and GC Kundu",First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,Cytokine 36 (2006) 245ï¿½253,10.1371/journal.pone.0069485,2012,06June,,,,,"Duplicated FACS panels, but different gating numbers",1,,,1.0,,1,,28.0,1 2  1 0  5 3 ,PLOS ONE  PLOS ONE PLOS ONE PLOS Genetics PLOS Medicine PLOS ONE PLOS ONE PLOS ONE ,Chinese Academy of Sciences,9,"Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience",,43.075409,,,,,,"Seoul, South Korea",21.92,
25,"Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown",Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,"Infect. Immun. 2012, 80(8):2920",10.1016/j.lungcan.2011.10.002,2013,,,1.0,,1,bands in gel appear to be spliced in,1,,1.0,1.0,,1,,,0 0 0 3 ,PLOS ONE PLOS ONE PLOS Computational Biology PLOS Genetics PLOS ONE PLOS Pathogens  ,University of Washington,2,Department of Pathology,,,,,,7.4,,"Kolkata, India",34.32,
26,"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1155/2012/732578,2001,,,,1.0,1,"Duplicated yet altered blots, multiple cases",1,,,,,1,"Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China",0.0,0 0 1 2 0 0 2 0 9 3 3  ,PLOS ONE PLOS ONE PLOS Genetics PLOS Biology PLOS Computational Biology PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS Biology PLOS ONE PLOS Medicine PLOS Neglected Tropical Diseases PLOS Computational Biology PLOS ONE PLOS Pathogens PLOS Genetics PLOS ONE PLOS ONE ,Pfizer Worldwide Research and Development,30,"School of Dentistry, Chung Shan Medical University, Taichung 40201, Taiwan ; Department of Dentistry",,,,,,,,"Lyon, France",36.91,
27,"R. van Gelderen, J. Carson, N. Gudkovs, and B. Nowak",Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,"Infect. Immun. 2012, 80(8):2920",10.1038/onc.2013.184,2005,,,1.0,,,Duplicated bands within same blot panel,1,,,1.0,1.0,1,,,4 1 16 0 10 0 8 50 4 50 5 0 47 50  , ,National Institutes of Health,5,1] Priority Research Centre for Cancer Research,,,,,,,,,31.66,
28,"CM Das, P Taylor, M Gireud, A Singh, D Lee, G Fuller, L Ji, J Fangusaro, V Rajaram, S Goldman, C Eberhart, and V Gopalakrishnan",Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,Cytokine 56 (2011) 365ï¿½375,10.1155/2014/424767,2013,,,,,,Duplicated gel panels,1,,,1.0,,1,,0.0,4 50 0 4 0 1 22 0 0 0 ,PLOS ONE  PLOS ONE PLOS ONE PLOS Genetics PLOS Medicine PLOS ONE PLOS ONE PLOS ONE ,Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud,8,State Key Laboratory of Cancer Biology and Xijing Hospital of Digestive Diseases,Ph.D.,,,,300.0,16.6,,"Hanoi, Vietnam",63.07,34.06
29,"T-I Hsu, S-C Lin, P-S Lu, W-C Chang, C-Y Hung, Y-M Yeh, W-C Su, P-C Liao, and J-J Hung",Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867ï¿½3879",10.1128/IAI.74.2.1148-1155.2006,2014,IAI,,1.0,,,Multiple cases of duplicated blots,1,,,1.0,,1,,121.0,0 7  1 0 0 10  ,PLOS ONE PLOS ONE PLOS ONE PLOS ONE PLOS ONE ,Kobe University Graduate School of Medicine,22,"The Biodesign Institute, Center for Infectious Diseases and Vaccinology",Doctor of Philosophy,,,,1377.0,10.9,,"Beirut, Lebanon",41.12,63.09
30,"Luke Martin McCaffrey, JoAnne Montalbano, Constantina Mihai, and Ian G. Macara",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"Breast Cancer Research 2012, 14:R85",10.1128/JCM.44.3.772-776.2006,2009,,,,,,Duplicated microscopy images,1,8/8/2016,,,,1,Departments of Pediatrics,,4 0 16 12 0 14 0 0 ,PLOS Pathogens PLOS ONE PLOS Genetics PLOS ONE PLOS ONE  ,University of Glasgow School of Medicine,3,"Section of Endocrinology, Department of Internal Medicine",,,,,112.0,,,"Cleveland, OH, United States",40.54,62.86
31,"Adis Tasanarong, Supranee Kongkham, and Sookkasem Khositseth",Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes,"Infect. Immun. Mar. 2009, p. 1031ï¿½1043 Vol. 77, No. 3",10.1371/journal.pone.0105049,2013,,,,,,"Identical microscopy panels, might be error",1,,,,,1,,,1 0 0 0 0  , ,SUNY Upstate Medical University,15,Department of Immunology,PhD,,,,,,,"New Orleans, LA, United States",63.85,69.64
32,"Markus Neumeier, Sabrina Bauer, Hilke Bru_hl, Kristina Eisinger, Andrea Kopp, Sabine Abke, Roland Walter, Andreas Schï¿½ffler, Christa Buechler n",High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1016/j.cyto.2009.11.020,2008,,,,,,duplicated microscopy panels,1,,,1.0,1.0,1,"Department of Pathology, Microbiology and Immunology, School of Medicine, University of South Carolina, Columbia, South Carolina, United States of America",,0 50 27 1  ,PLOS ONE PLOS Genetics PLOS ONE PLOS Computational Biology PLOS Pathogens PLOS ONE PLOS Biology PLOS ONE PLOS ONE ,Chinese Academy of Sciences,17,"Department of Orthopedic Surgery, Xinhua Hospital",,,,,,,,"Montreal, Canada",26.19,76.41
33,"Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1038/onc.2013.237,2013,,1.0,,,,"Duplicated blot panels, different exposure",1,,,,,1,,,0  ,PLOS ONE PLOS ONE  ,Chinese Academy of Medical Sciences,11,Advanced Laboratory for Plant Genetic Engineering,"MD, PhD",,,,,,,"Spokane, WA, United States",73.85,46.75
34,"Anusha M. Gopalakrishnan, and Nirbhay Kumar","c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1128/IAI.01008-13,2012,01January,,,1.0,,"Duplicated blot strips, stretched",1,,,,1.0,1,,,1 1 0 1 0 1 2 0  ,PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS ONE PLOS ONE PLOS Pathogens PLOS ONE PLOS Pathogens PLOS Genetics PLOS ONE  ,University of Texas Medical Branch,10,Department of Microbiology and Immunology,,,,,,9.1,,"Philadelphia, PA, United States",49.13,78.08
35,"Hong-Xia Wang, Dong-Mei Zhang, Xiang-Jun Zeng, Jing Mu, Hui Yang, Ling-Qiao Lu, Li-Ke Zhang","c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation","PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0070508,2014,,,,1.0,,"Duplicated lanes within blots, many many case",1,5/6/2015,,,,1,"Department of Pathology, Microbiology and Immunology, School of Medicine, University of South Carolina, Columbia, South Carolina, United States of America",190.0,1 0 38 9  ,PLOS ONE  ,Osaka University Graduate School of Dentistry,5,Department of Genetics,,,,,,18.0,,"Freiburg im Breisgau, Germany",25.77,59.24
