doc_type,publisher,venue_name
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Conference,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Journal,North-Holland,The Journal of Logic and Algebraic Programming
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Conference,,Research Challenges in Information Science
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Journal,Vieweg,Innovations in Systems and Software Engineering
Conference,USENIX Association,USENIX Large Installation Systems Administration Conference
Conference,USENIX Association,USENIX Large Installation Systems Administration Conference
Conference,USENIX Association,USENIX Large Installation Systems Administration Conference
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,IASTED,IASTED Conference on Software Engineering
Conference,"Springer, Berlin, Heidelberg",Intelligent Information Systems
Conference,"Springer, Berlin, Heidelberg",Intelligent Information Systems
Conference,"Springer, Berlin, Heidelberg",Intelligent Information Systems
Conference,"Springer, Berlin, Heidelberg",Intelligent Information Systems
