	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	Labs	Lab Size	nPublications	Other Journals	University	Career Duration	Degree Area	Latitude	Longitude	UndergradStudentCount	ranking	students staff ratio	perc intl students	near_city	crime_index	safety_index
14	Akrem Abdulsid, Alexander Fletcher, Fiona Lyall	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127	10.1371/journal.pone.0071127	2013	08August				1	reuse of 2 bands multiple times to create blot panel	1		1.0			1	University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom	3	   	   	University of Glasgow School of Medicine	5	University of Glasgow School of Medicine									
15	Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc	DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine	PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982	10.1371/journal.pone.0084982	2014	01January			1.0		duplicated, and mirrored blots	1	9/15/2014		1.0		1	Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America	4	    	    	Indiana University School of Medicine	6	Departments of Medicine, Biochemistry and Molecular Biology							Chicago, IL, United States	65.95	34.05
16	Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi	Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH	PLOS One, January 2014 | Volume 9 | Issue 1 | e86342	10.1371/journal.pone.0086342	2014	01January		1.0			duplicated (negative) western blot	1	5/6/2015		1.0		1	National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea	9	        	        	Chonnam National University	11	National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology				838.0	17.5	8%	Incheon, South Korea	30.92	69.08
17	Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy	Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells	PLOS One, January 2014 | Volume 9 | Issue 1 | e87003	10.1371/journal.pone.0087003	2014	01January			1.0		duplicated, and stretched blot	1	4/22/2015		1.0		1	Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America	43	         	         	Tufts University School of Medicine	11	Department of Developmental, Molecular and Chemical Biology							Boston, MA, United States	36.91	63.09
18	Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy	Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells	PLOS One, January 2014 | Volume 9 | Issue 1 | e87003	10.1371/journal.pone.0087003	2014	01January			1.0		duplicated, and stretched blot	1	4/22/2015		1.0		1	Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America	43	         	         	Tufts University School of Medicine	11	Department of Developmental, Molecular and Chemical Biology							Boston, MA, United States	36.91	63.09
19	Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko	Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells	PLOS One, February 2014 | Volume 9 | Issue 2 | e89546	10.1371/journal.pone.0089546	2014	02February	1.0		1.0		Duplicated, and shifted GAPDH gel panel	1	7/28/2014		1.0		1	Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia	4	        	        	Blood Transfusion Centre of Slovenia	9	Blood Transfusion Centre of Slovenia							Ljubljana, Slovenia	21.45	78.55
20	Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li	Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway	PLOS One, February 2014 | Volume 9 | Issue 2 | e90318	10.1371/journal.pone.0090318	2014	02February			1.0		Mirrored blot panels representing different proteins	1	7/25/2016	1.0			1	Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China	7	        	        	Xi'an Jiaotong University	13	Anesthesia Department, the Second Affiliated Hospital, School of Medicine							Beijing, China	33.36	66.64
21	Christophe Broca,  Elodie Varin, Mathieu Armanet, Cï¿½cile Tourrel-Cuzin, Domenico Bosco,  Stï¿½phane Dalle, Anne Wojtusciszyn	Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066	10.1371/journal.pone.0092066	2014	03March			1.0		duplicated/reused actin blot panels	1	7/7/2014		1.0		1	CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France	4	       	       	University Hospital St-Eloi	21	CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France; Laboratory for Diabetes Cell Therapy, Institute for Research in Biotherapy							Nantes, France	60.06	39.94
22	Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis	DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells	PLOS One, March 2014 | Volume 9 | Issue 3 | e92305	10.1371/journal.pone.0092305	2014	03March			1.0		Duplicated lanes within different panels - but representing same conditions	1	8/18/2014		1.0		1	Department of Pharmacology, National Medicines Institute, Warsaw, Poland	2	   	   	National Medicines Institute	11	Department of Pharmacology							Hong Kong, Hong Kong	21.92	78.08
23	Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi	FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626	10.1371/journal.pone.0092626	2014	03March			1.0		Mirrored microscopy image	1	4/27/2015		1.0		1	Division of Cardio-Vascular Medicine, Department of Internal Medicine, Kurume University School of Medicine, Fukuoka, Japan	10	            	            	Kurume University School of Medicine	13	Division of Cardio-Vascular Medicine, Department of Internal Medicine									
24	Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb	Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background	PLOS One, March 2014 | Volume 9 | Issue 3 | e90608	10.1371/journal.pone.0090608	2014	03March	1.0	1.0			Duplicated actin blot panel but different experiments, cuts in panels	1	5/1/2015		1.0		1	Department of Gastroenterology, Justus Liebig University, Giessen, Germany	12	               	               	Justus Liebig University	7	Department of Gastroenterology							Memphis, TN, United States	73.85	26.15
25	Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni	Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis	PLOS One, April 2014 | Volume 9 | Issue 4 | e94830	10.1371/journal.pone.0094830	2014	04April				1	Manipulated plant images, duplication of seeds, manipulated leaves	1	5/12/2016	1.0			1	State Key Laboratory for Agrobiotechnology and Key Laboratory of Crop Heterosis and Utilization (MOE), Beijing Key Laboratory of Crop Genetic Improvement, China Agricultural University, Beijing, China	23	           	           	China; National Plant Gene Research Centre (Beijing)	9	State Key Laboratory for Agrobiotechnology and Key Laboratory of Crop Heterosis and Utilization (MOE), Beijing Key Laboratory of Crop Genetic Improvement, China Agricultural University, Beijing							Beijing, China	33.36	66.64
26	Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers	Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling	PLOS One, April 2014 | Volume 9 | Issue 4 | e95434	10.1371/journal.pone.0095434	2014	04April			1.0		Duplicated compressed blots, overlapping microscopy	1			1.0		1	Department of Biology and Biochemistry and the Centre for Regenerative Medicine, University of Bath, Bath, United Kingdom	3	     	     	University of Bath	9	Department of Biology and Biochemistry and the Centre for Regenerative Medicine				205.0	16.2	33%	Bristol, United Kingdom	40.54	59.46
27	Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a	Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki	PLOS One, April 2014 | Volume 9 | Issue 4 | e92189	10.1371/journal.pone.0092189	2014	04April		1.0			Duplicated FACS panels	1	8/12/2014		1.0		1	Department of Microbiology, Laboratory of Mycotoxins and Toxigenic Fungi, University of São Paulo, São Paulo, São Paulo, Brazil	5	      	      	University of São Paulo	12	Department of Microbiology, Laboratory of Mycotoxins and Toxigenic Fungi				237.0	16.1	4%	Sao Paulo, Brazil	70.20	29.80
28	Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti	Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005	PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472	10.1371/journal.pone.0094472	2014	04April				1	Duplicated cells within microscopy panels, multiple cases, duplicated blots	1		1.0			1	Advanced Laboratory for Plant Genetic Engineering, Advanced Technology Development Centre, Indian Institute of Technology Kharagpur, Kharagpur, India	3	    	    	Advanced Technology Development Centre	9	Advanced Laboratory for Plant Genetic Engineering							Sault Ste. Marie, Canada	58.60	41.40
29	Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang	Stac3 Inhibits Myoblast Differentiation into Myotubes	PLOS One, April 2014 | Volume 9 | Issue 4 | e95926	10.1371/journal.pone.0095926	2014	04April		1.0			Duplicated microscopy images	1	8/7/2014		1.0		1	Department of Animal and Poultry Sciences, Virginia Tech, Blacksburg, Virginia, United States of America	19	      	      	Virginia Tech	13	Department of Animal and Poultry Sciences							Charlotte, NC, United States	45.30	54.70
30	Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent	TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation	PLOS One, April 2014 | Volume 9 | Issue 4 | e93995	10.1371/journal.pone.0093995	2014	04April		1.0			Duplicated blot panels	1	7/22/2014		1.0		1	Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States of America	12	       	       	University of Wisconsin Hospital and Clinics	8	Department of Surgery							Madison, WI, United States	34.00	66.00
31	Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang	Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II	PLOS One, April 2014 | Volume 9 | Issue 4 | e93563	10.1371/journal.pone.0093563	2014	04April		1.0			Duplicated gel panels	1	5/6/2015		1.0		1	Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China	7	        	        	The First Affiliated Hospital of Sun Yat-sen University	8	Department of Laboratory Medicine							Memphis, TN, United States	73.85	26.15
32	Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh	Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells	PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343	10.1371/journal.pone.0096343	2014	05May		1.0			Duplicated microscopy images	1	7/6/2016		1.0		1	Department of Pathology, Microbiology and Immunology, School of Medicine, University of South Carolina, Columbia, South Carolina, United States of America	16	    	    	University of South Carolina	11	Department of Pathology, Microbiology and Immunology, School of Medicine							Charlotte, NC, United States	45.30	54.70
33	Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo	Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway	PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137	10.1371/journal.pone.0099137	2014	06June			1.0		Duplicated, and stretched microscopy images, multiple cases	1	12/2/2014		1.0		1	Institute of Orthopedic Surgery, Xijing Hospital, Fourth Military Medical University, Xi’an, People’s Republic of China	14	               	               	Fourth Military Medical University	2	Institute of Orthopedic Surgery, Xijing Hospital							Memphis, TN, United States	73.85	26.15
34	Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang	Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF	PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448	10.1371/journal.pone.0098448	2014	06June			1.0		Overlapping microscopy images	1	8/7/2015		1.0		1	Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China	8	         	         	China; Key Laboratory of Heavy Ion Radiation Biology and Medicine of Chinese Academy of Sciences	3	Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou							Beijing, China	33.36	66.64
35	Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash	Aspirin Delimits Platelet Life Span by Proteasomal Inhibition	PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049	10.1371/journal.pone.0105049	2014	08August				1	Duplicated set of lanes within the same panel	1	12/12/2014		1.0		1	Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India	3	    	    	Banaras Hindu University	5	Department of Biochemistry, Institute of Medical Sciences				617.0	11.4	3%	Lucknow (Lakhnau), India	49.13	50.87
36	Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh	S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression	PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868	10.1371/journal.pone.0103868	2014	08August		1.0			Duplicated microscopy panels	1	11/18/2014		1.0		1	Department of Biochemistry, Osmania University, Hyderabad, A.P., India	6	      	      	Osmania University	6	Department of Biochemistry				932.0	28.5	4%	Hyderabad, India	43.96	56.04
37	Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen	The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration	PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847	10.1371/journal.pbio.1001847	2014	04April		1.0			duplicated microscopy panels	1	5/28/2015		1.0		1	Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America	99	               	               	Baylor College of Medicine	21	Program in Developmental Biology	29.7106	-95.395743					Houston, TX, United States	63.77	36.23
38	Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen	The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration	PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847	10.1371/journal.pbio.1001847	2014	04April		1.0			duplicated microscopy panels	1	5/28/2015		1.0		1	Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America	99	               	               	Baylor College of Medicine	21	Program in Developmental Biology	29.7106	-95.395743					Houston, TX, United States	63.77	36.23
39	Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen	The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration	PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847	10.1371/journal.pbio.1001847	2014	04April		1.0			duplicated microscopy panels	1	5/28/2015		1.0		1	Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America	99	               	               	Baylor College of Medicine	21	Program in Developmental Biology	29.7106	-95.395743					Houston, TX, United States	63.77	36.23
40	Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhï¿½ll, Irene Sï¿½derhï¿½llGab	Astakine 2ï¿½the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans	PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361	10.1371/journal.pgen.1003361	2013	03March				1	multiple cases of shifted blots, duplicated bands within blots	1	4/27/2015	1.0			1	Department of Comparative Physiology, Uppsala University, Uppsala, Sweden	28	       	       	Uppsala University	6	Department of Comparative Physiology				112.0	15.8	18%	Uppsala, Sweden	41.12	58.88
